"";"team.name";"player.name";"num_elim_players_in_line";"number_passes";"num_eliminated_players";"number_of_matches";"average_length_gain";"nb_passes_forward";"nb_pass_broke_line";"average.ball.end.x";"average.ball.end.y";"average_nb_players_forward";"nb_pass_complete";"num_eliminated_players_complete_pass";"real_average_length_gain";"ratio_pass_broke_line";"ratio_nb_eliminated_players";"num_elim_players_in_line_by_match";"number_passes_by_match";"num_eliminated_players_by_match";"average_length_gain_by_match";"nb_passes_forward_by_match";"nb_pass_broke_line_by_match";"average.ball.end.x_by_match";"average.ball.end.y_by_match";"average_nb_players_forward_by_match";"nb_pass_complete_by_match";"real_average_length_gain_by_match";"num_eliminated_players_complete_pass_by_match";"num_eliminated_players_in_line_by_match"
"415";"Belgium";"Thomas Vermaelen";13;150;182;5;5,91;18;0;42,02;36,8;6,13;22;8;2,58;0;0,071;2,6;30;36,4;1,182;3,6;0;8,404;7,36;1,226;4,4;0,516;1,6;2,6
"612";"Belgium";"Youri Tielemans";38;198;345;4;11,47;19;2;59,24;37,53;5,19;31;29;2,94;0,01;0,11;9,5;49,5;86,25;2,868;4,75;0,5;14,81;9,383;1,298;7,75;0,735;7,25;9,5
"714";"Belgium";"Toby Alderweireld";30;264;482;4;15,58;37;3;55,73;49,86;5,64;40;57;9,9;0,011;0,062;7,5;66;120,5;3,895;9,25;0,75;13,932;12,465;1,41;10;2,475;14,25;7,5
"1114";"Belgium";"Thorgan Hazard";29;230;219;4;12,26;18;2;57,1;20;5,32;40;30;-2,58;0,009;0,132;7,25;57,5;54,75;3,065;4,5;0,5;14,275;5;1,33;10;-0,645;7,5;7,25
"1211";"Belgium";"Eden Hazard";34;125;174;4;6,97;20;2;69,9;26,6;4,8;33;36;0,22;0,016;0,195;8,5;31,25;43,5;1,742;5;0,5;17,475;6,65;1,2;8,25;0,055;9;8,5
"2110";"Belgium";"Kevin De Bruyne";36;167;363;4;10,45;15;3;81,37;29,95;5,39;19;28;5,66;0,018;0,099;9;41,75;90,75;2,612;3,75;0,75;20,343;7,487;1,347;4,75;1,415;7;9
"88";"Belgium";"Thomas Meunier";35;178;341;5;21,52;25;3;75,8;58,65;3,85;25;38;9,76;0,017;0,103;7;35,6;68,2;4,304;5;0,6;15,16;11,73;0,77;5;1,952;7,6;7
"254";"Belgium";"Thibaut Courtois";20;90;206;5;30,18;18;2;41,39;33,73;3,11;12;17;30,18;0,022;0,097;4;18;41,2;6,036;3,6;0,4;8,278;6,746;0,622;2,4;6,036;3,4;4
"552";"Belgium";"Dries Mertens";2;41;73;4;18,96;7;0;63,29;45,1;2,91;7;8;9,91;0;0,027;0,5;10,25;18,25;4,74;1,75;0;15,822;11,275;0,728;1,75;2,478;2;0,5
"659";"Portugal";"João Félix Sequeira";8;19;42;1;11,09;9;2;82;32,72;5,47;15;25;0,76;0,105;0,19;8;19;42;11,09;9;2;82;32,72;5,47;15;0,76;25;8
